vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,1/15/2015 2:09:01,1/15/2015 2:28:43,1,5.6,5,N,4,0,0,0,0,0,0.3,,0.3,246,265,2015,1
1,1/3/2015 3:00:15,1/3/2015 3:01:42,2,0,5,N,2,0,0,0,0,0,0,,0.3,170,170,2015,1
1,1/16/2015 22:32:47,1/16/2015 22:33:50,1,0.8,5,N,3,0,0,0,0,0,0.3,,0.3,14,6,2015,1
1,1/16/2015 16:39:33,1/16/2015 16:39:56,0,0,5,N,2,0,0,0,0,0,0.3,,0.3,264,264,2015,1
1,1/20/2015 8:29:36,1/20/2015 8:29:36,2,0,5,N,2,0,0,0,0,0,0.3,,0.3,230,264,2015,1
1,1/8/2015 23:54:48,1/9/2015 0:47:08,1,12.8,5,N,2,0,0,0,0,0,0.3,,0.3,161,265,2015,1
1,1/21/2015 16:15:24,1/21/2015 16:16:40,1,0,5,N,4,0,0,0,0,0,0.3,,0.3,260,260,2015,1
1,1/3/2015 22:52:05,1/3/2015 22:52:05,1,0,99,N,2,0,0,0,0,0,0,,0.3,79,79,2015,1
1,1/1/2015 23:06:52,1/1/2015 23:06:52,1,0,5,N,2,0,0,0,0,0,0,,0.3,170,264,2015,1
1,1/10/2015 18:48:43,1/10/2015 18:54:04,1,0.8,5,N,2,0,0,0,0,0,0.3,,0.3,265,265,2015,1
1,1/10/2015 22:05:54,1/10/2015 22:05:54,1,0,5,Y,2,0,0,0,0,0,0.3,,0.3,168,264,2015,1
1,1/1/2015 4:44:25,1/1/2015 4:47:20,1,1.7,5,N,2,0,0,0,0,0,0,,0.3,265,265,2015,1
1,1/19/2015 23:54:31,1/19/2015 23:56:04,1,1.2,5,N,3,0,0,0,0,0,0.3,,0.3,235,244,2015,1
1,1/15/2015 20:43:10,1/15/2015 20:44:24,1,11.2,5,N,3,0,0,0,0,0,0.3,,0.3,230,230,2015,1
1,1/22/2015 4:09:41,1/22/2015 4:09:41,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,265,264,2015,1
1,1/15/2015 9:29:07,1/15/2015 9:31:43,1,0.7,5,N,3,0,0,0,0,0,0.3,,0.3,137,107,2015,1
1,1/29/2015 12:27:01,1/29/2015 12:27:01,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,237,264,2015,1
1,1/1/2015 12:26:37,1/1/2015 12:28:24,3,0.5,5,N,2,0,0,0,0,0,0,,0.3,132,132,2015,1
1,1/25/2015 4:28:11,1/25/2015 4:36:09,1,72.2,5,N,2,0,0,0,0,0,0.3,,0.3,243,265,2015,1
1,1/9/2015 22:18:54,1/9/2015 22:19:28,1,0.1,5,N,3,0,0,0,0,0,0.3,,0.3,132,132,2015,1
1,1/14/2015 3:43:18,1/14/2015 3:58:53,1,5.9,5,N,3,0,0,0,0,0,0.3,,0.3,79,265,2015,1
1,1/22/2015 23:44:33,1/22/2015 23:44:33,1,0,5,Y,2,0,0,0,0,0,0.3,,0.3,48,264,2015,1
1,1/13/2015 15:54:26,1/13/2015 16:25:04,2,6.4,5,N,2,0,0,0,0,0,0.3,,0.3,113,62,2015,1
1,1/2/2015 10:44:06,1/2/2015 11:36:30,1,11.3,5,N,3,0,0,0,0,0,0,,0.3,142,142,2015,1
1,1/12/2015 0:51:17,1/12/2015 0:52:28,1,0.1,5,N,2,0,0,0,0,0,0.3,,0.3,163,163,2015,1
1,1/9/2015 9:07:07,1/9/2015 9:07:50,2,0.2,5,N,2,0,0,0,0,0,0.3,,0.3,138,138,2015,1
1,1/2/2015 15:36:33,1/2/2015 15:36:38,0,3.7,5,Y,2,0,0,0,0,0,0,,0.3,1,1,2015,1
1,1/1/2015 1:04:40,1/1/2015 1:06:21,3,5.4,5,N,1,0,0,0,0,0,0,,0.3,265,265,2015,1
1,1/26/2015 12:22:15,1/26/2015 12:26:32,1,1.9,5,N,3,0,0,0,0,0,0.3,,0.3,265,1,2015,1
1,1/16/2015 17:43:23,1/16/2015 17:43:36,1,0,5,Y,2,0,0,0,0,0,0.3,,0.3,48,48,2015,1
1,1/21/2015 19:11:48,1/21/2015 19:12:57,1,0.4,5,N,2,0,0,0,0,0,0.3,,0.3,265,265,2015,1
1,1/3/2015 21:15:28,1/3/2015 21:15:50,1,0,5,N,2,0,0,0,0,0,0,,0.3,165,165,2015,1
1,1/4/2015 0:17:08,1/4/2015 0:18:01,1,0,5,N,3,0,0,0,0,0,0,,0.3,164,164,2015,1
1,1/29/2015 13:59:30,1/29/2015 13:59:36,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,166,166,2015,1
1,1/15/2015 17:04:25,1/15/2015 17:04:32,1,0.1,5,N,3,0,0,0,0,0,0.3,,0.3,132,132,2015,1
1,1/22/2015 7:20:19,1/22/2015 8:16:56,1,233.2,5,N,2,0,0,0,0,0,0.3,,0.3,265,265,2015,1
1,1/18/2015 14:11:15,1/18/2015 14:16:15,1,0.3,5,N,3,0,0,0,0,0,0.3,,0.3,142,163,2015,1
